area,auv_count,method,regular_latency,priority_latency,regular_std,priority_std,transmitted_data,priority_objects,regular_objects,travelled_distance,w1,w2,w3,regular_latency_normalized,priority_latency_normalized,regular_std_normalized,priority_std_normalized,travelled_distance_normalized,priority_objects_normalized,regular_objects_normalized,transmitted_data_normalized,priority,regular,distance,utility
15000,3,owa,236.57142857142858,160.14285714285714,162.03025087249048,82.66694729953548,840.0,14.0,14.0,1133.7578696971148,0.4,0.4,0.2,0.460790033310123,0.6252376078374029,0.3747167017709237,0.17245373238808254,0.8959223825524562,0.9333333333333333,0.9333333333333333,0.9655172413793104,0.2898182747163355,0.28231649654160196,0.40823087988717294,0.8392074028743094
15000,3,owa,163.2,127.35714285714286,128.48857647944538,67.48402334325812,870.0,14.0,15.0,1190.4564327841351,0.6,0.2,0.2,0.07416677644579102,0.18898961836525802,0.19521726241260326,0.0,1.0,0.9333333333333333,1.0,1.0,0.4226998749825634,0.43305831884158996,0.36787944117144233,1.0071084755748008
15000,3,owa,243.0,162.64285714285714,162.43531256851378,83.08439374224551,840.0,14.0,14.0,1145.9461547095173,0.6,0.4,0.0,0.4946647345540773,0.658502705073841,0.3768844035525851,0.17719525630829608,0.9182955714975717,0.9333333333333333,0.9333333333333333,0.9655172413793104,0.2822788415183781,0.275269923467452,0.3991988674900712,0.8191126707421754
15000,3,owa,236.07142857142858,160.35714285714286,162.34553097813145,82.09244989443505,840.0,14.0,14.0,1139.2909952042453,0.8,0.2,0.0,0.45815533432448213,0.6280889018862406,0.37640393424298896,0.165928360724354,0.906079157053717,0.9333333333333333,0.9333333333333333,0.9655172413793104,0.2905529543286503,0.2825031073607206,0.4041055563501566,0.8359100643591673
15000,3,owa,240.07142857142858,160.64285714285714,159.82223985305785,81.77512048092824,840.0,14.0,14.0,1149.2352012437411,1.0,0.0,0.0,0.4792329262096092,0.6318906272846906,0.3629004538567369,0.16232400612748168,0.9243330459646184,0.9333333333333333,0.9333333333333333,0.9655172413793104,0.29051346153464014,0.2810132825062245,0.3967959755187876,0.82781607830654
15000,4,owa,278.0,167.8,151.32525675951564,122.29484278344925,750.0,15.0,10.0,895.297536406215,0.4,0.4,0.2,0.6790936635489396,0.7271238485158649,0.31742855273291565,0.6225632437421369,0.458197297587374,1.0,0.6666666666666666,0.8620689655172413,0.2059215330955761,0.17975049624207326,0.632422688426977,0.9282194696435897
15000,4,owa,276.8,168.06666666666666,150.44290168255418,122.1909902375707,750.0,15.0,10.0,890.2145341866492,0.6,0.2,0.2,0.6727703859834016,0.7306721255544181,0.31270659879067625,0.6213836449239951,0.44886678316708706,1.0,0.6666666666666666,0.8620689655172413,0.205534481705235,0.18120425531472123,0.6383511321458103,0.9344877415084059
15000,4,owa,286.7,168.64285714285714,156.56950888059626,128.87418261643774,720.0,14.0,10.0,898.9676642597747,0.6,0.4,0.0,0.724937425899091,0.7383389384412924,0.3454933507080234,0.6972940211678734,0.46493429658574537,0.9333333333333333,0.6666666666666666,0.8275862068965517,0.1794076861530845,0.17021411400369063,0.628176377166505,0.8926911203214348
15000,4,owa,294.9,172.85714285714286,159.41382206906232,131.66382433061344,720.0,14.0,10.0,880.4331017193097,0.8,0.2,0.0,0.7681464892636016,0.794414388068431,0.3607147918533407,0.7289798892536571,0.43091168640630517,0.9333333333333333,0.6666666666666666,0.8275862068965517,0.16703142261455015,0.16291420577214108,0.6499163046848485,0.8984048301854692
15000,4,owa,254.8,151.13333333333333,146.5922538502253,115.81935852664617,750.0,15.0,10.0,878.7204389152797,1.0,0.0,0.0,0.5568436306152024,0.5053565336062775,0.29209972273046725,0.5490120995539811,0.42776787015366236,1.0,0.6666666666666666,0.8620689655172413,0.25838708614572903,0.1997697068269364,0.6519627372448389,1.010234676804036
